,source,text_norm
29,__label__mil,сергей шойгу провести переговоры главый военный ведомство узбекистан адбусалом азизов заявить военный военно-технический сотрудничество два страна носить абсолютно конкретный очень важный характер»<><>«связать это один очередь весь тот риска угроза который находиться граница узбекистан отметить возрастать угроза международный терроризм который перемещаться сирия соседний сопредельный государство число узбекистан подчеркнуть министр оборона россии.<><>«м мочь сегодня сказать ситуация афганистан становиться стабильный безопасный формирование который уходить сирия перемещаться число афганистан особый роль играть подготовка военный специалист тот случай необходимость встать защита интерес государство отметить глава российский оборонный ведомства.<><>«ть связь это готовый далёкий делиться наш опыт готовить кадр вооружённый сила узбекистан именно поэтому число военный специалист который сегодня учиться наш учебный заведение россия предполагать увеличить процент раз сказать сергей шойгу.<><>по слово российский министр военный специалист узбекистан приобретать россия хороший добротный глубокий знание получить результат опыт различный военный операция число сирия необходимость потребность помимо готовый рассмотреть вариант направление свой преподаватель прямо сюда заявить глава минобороны рф.<><>«такж считать важный подготовка отдельный план иметь вид программа который надеяться рассмотреть вы время международный военно-технический форум армия-2018 который пройти август процесс который вы мочь провести заседание межправительственный комиссия военно-технический сотрудничество заключить сергей шойгу.<><>ть очередь министр оборона узбекистан абдусалом азиз также очень высоко оценить российско-узбекский военный военно-технический сотрудничество отметить опыт мощь россия видеть лицо россия обладать авторитет весь мир регион страна исторический наш связь культурный экономический это выбросить забыть связывать уза думать вы быть далёкий развивать укреплять подчеркнуть абдусалом азизов.<><>он особо отметить сотрудничество два страна область подготовка кадр военно-технический обеспечение боев подготовка подразделение очень большой помощь оказывать мы российский специалист разумеется узбекский делегация команда охотно участвовать арми форум армия мы несомненный польза заявить министр оборона узбекистана.<><>#миноборона шойгу международнаядеятельность узбекистан рабочиепоездка
1703,__label__mil,экипаж корабельный вертолёт ка-27 состав армия ввс пво северный флот приступить тренировка поиск обнаружение подводный лодка баренцев мор  >лётчик предстоять отработать тактический приём поиск классификация подводный лодка слежение они применение радиолокационный гидроакустический средство отработать тактический применение комплекс противолодочный вооружение  >такж морской лётчик выполнить полётный задание слётанность экипаж получение допуск пилотирование простой сложный метеоусловия  >#минобороны северныйфлот морскаяавиация боеваяподготовка
10797,__label__mospolice,онлайн-трансляция спортивный парад московский полиция ><>ный южный спортивный арен олимпийский комплекс лужники продолжаться спортивный парад московский полиция посвятить день сотрудник орган внутренний дело  >гость праздник который распахнуть свой дверь желающий наблюдать показательный выступление сотрудник спецподразделение полиции.<><>смотреть https://77.мвд.рф/прямая-трансляция-спортивного-праздника<><>#мвд петровка38 полиция новость лужники спорт праздник онлайн
10940,__label__mospolice,уважаемый родитель обсудить ребёнок простой правило безопасный поведение который помочь защитить  >выучить ребёнок наизусть домашний адрес номер связь вы родственник  >договориться нужно ставить известность идти оставлять телефон связь задерживаться улица темнота  >ести посторонний человек просить ребёнок помощь предлагать проводить говорить друг родитель учитель ребёнок следовать разговаривать случай преследование идти людный место  >придумать секретный семейный пароль кодовый слово который быть использовать распознавание друг обозначение опасность  >рассказать кой случай трогать никакой предмет найти улица игрушка телефон  >памятка твой пятёрка безопасность сохранить сайт мвд россия >https://мвд.рф/твоя-пятерка-безопасности<><>#пятеркабезопасность полицияребёнок 1сентябрь безопасностьдетый деньзнание мвдроссия police russianpolice
1712,__label__mil,15 январь 1878 год начаться трехдневный сражение филиппополоть ныне болгарский город пловдив один последний битва русско-турецкий война 1877-1878 год  >ть бой русский войско командование генерал и.в гурко разрушить замысел турецкий командование создать новый прочный линия оборона подступ стамбул  >после переход русский войско балканы командующий западный турецкий армия назначить сулейман-паша успеть сосредоточить софия филиппополоть 50 тысяча человек 122 орудие  >н ожидать прорыв разгар зима турок отступать перевал балканский гора собраться вместе адрианополь ныне город эдирня надёжно прикрыть столица стамбул ударный авангард русский армия 70 тысяча штык сабля командовать генерал гурко принять решение дать противник собрать вместе сила перехватить часть отступать древний филиппополь  >русский авангард настигнуть атаковать 50-тысяча турецкий войско сражение начаться 8 часы утро 15 январь 1878 год турецкий армия понимать решаться судьба война драться упорно  >ть ночь 16 январь филиппополь незаметно турок пробиться несколько эскадрон русский улан захватить здание городской вокзал утро весь город рука русский армия упорный бой окрестность продолжаться сутки  >ть результат 30 тысяча отступать турок отрезать дорога стамбул турецкий командование удаться реализовать создание новый линия оборона прикрытие столица  >по итог три сутки боев филиппополоть начаться 15 январь 1878 год неприятель понести большой потеря 20 тысяча убитый раненый весь турецкий артиллерия 114 пушка захвачена.<><>#миноборона памятнаядат русскотурецкаявойный балканы
10694,__label__mospolice,новый арбат задержать водитель нарушать пдд ранее лишить право управление ><>«накануне улица новый арбат сотрудник гибдд гу мвд россия год москва остановить автомобиль марка опель водитель который грубо нарушать пдд двигаться разделительный полоса водитель пассажир девушка пристегнуть ремень безопасность сообщить и.о начальник управление информация общественный связь гу мвд россия год москва юрий титов  ><>подробность https://77.мвд.рф/news/item/8843499<><>#мвд петровка38 полиция новость водитель новыйарбат<><>https://youtu.be/4ytt6sou6ry
5571,__label__mchsgov,буднимчс<><>обворожительный улыбка курсантка агпс мчс россии.<>фото margo_mkrtchyan
7272,__label__russianpost,почтоваядорогий представлять водитель почтальон сопровождение отправление алексей лушковый коми ><>алексей работать почта 11 год начинать легковой автомобиль водить тяжёлый камаз маршрут самый протяжённый 320 километр перевозка больший объём груз алексей отказывать помощь коллега предприятие трасса взаимовыручка водительский среда это один приоритет дорога особенно такой непростой погодный условие который предполагать северный местность.<><>#коми сыктывкар почтароссия
9609,__label__mospolice,внимание максимальный репост!<><>розыск подозревать совершение преступление константин гурченко ><>сотрудник уголовный розыск увд вао гу мвд россия год москва обращаться гражданин который мочь обладать какой-либо информация константин гурченко 1982 год рождение  >дать гражданин являться подозревать совершение преступление предусмотренный ст 317 ук рф посягательство жизнь сотрудник правоохранительный орган  >ть настоящий момент константин гурченко числиться федеральный розыск  >полицейский увд вао гу мвд россия год москва просить кома что-либо известно местонахождение данный гражданин сообщить тело 8 495 965-14-01 8 495 965-22-48 служба 102 мобильный телефон 112»).<><>#мвдроссия петровка38 полиция внимание розыск
4503,__label__mchsgov,мчс мчсроссии<><>ть республика тыва спасатель мчс россия оказывать помощь житель подтопить посёлок каа-хема кызылский района.<><>http://www.mchs.gov.ru/dop/info/smi/news/item/33137978
